Current (mA),Equivalent Command Voltage (mV),LED595_M89L01,LED595_M58L005,LED565_M89L01,LED565_M58L005,LED470_M89L01,LED470_M58L005
0,0,0.000015,0.000014,0.000023,0.000016,0.00004,0.00003
50,250,0.2939,0.7042,0.4041,0.999,0.394,0.921
100,500,0.5668,1.358,0.7726,1.909,0.728,1.7
150,750,0.818,1.963,1.114,2.754,1.027,2.4
200,1000,1.054,2.528,1.436,3.55,1.301,3.04
300,1500,1.483,3.56,2.037,5.035,1.8,4.2
400,2000,1.868,4.487,2.595,6.412,2.25,5.24
500,2500,2.217,5.326,3.12,7.708,2.66,6.2
600,3000,2.534,6.092,3.619,8.95,3.04,7.09
700,3500,2.824,6.794,4.097,10.13,3.41,7.92
800,4000,3.09,7.437,NaN,NaN,3.75,8.71
